N,P,K,temperature,humidity,ph,rainfall,crop_yield,label
21.02,73.13,11.92,27.6,53.66,5.58,163.01,2.04,pigeonpeas
30.89,48.55,19.26,29.93,87.25,6.82,73.92,0.74,mungbean
17.07,23.24,25.01,26.82,45.6,6.15,97.06,6.17,mango
126.27,34.52,11.78,23.03,86.19,6.92,84.35,1.88,cotton
128.91,48.0,23.62,22.9,70.16,7.08,65.89,1.38,cotton
23.65,21.14,38.37,24.97,82.23,5.98,108.32,11.38,pomegranate
34.25,72.96,77.44,17.87,17.28,7.28,83.26,1.86,chickpea
38.68,64.88,41.24,33.06,90.29,6.97,118.55,21.56,papaya
34.5,15.7,34.68,26.06,97.95,6.18,185.11,71.69,coconut
24.56,51.62,21.89,23.64,65.78,6.78,47.18,1.33,lentil
96.18,87.92,48.61,27.83,76.87,5.97,120.56,26.34,banana
65.42,48.66,34.83,25.28,85.27,7.34,193.78,2.65,jute
23.59,65.74,16.79,30.33,44.72,5.71,162.05,0.71,pigeonpeas
30.17,123.13,210.09,20.64,89.02,6.17,84.24,7.71,grapes
19.19,50.51,15.58,28.26,84.09,6.3,52.37,0.75,mungbean
80.04,51.42,37.58,22.74,86.53,7.0,168.97,2.64,jute
20.12,20.11,6.38,25.27,96.51,6.98,107.03,15.44,orange
63.27,49.23,35.15,28.44,59.06,6.89,89.51,3.41,wheat
103.22,48.48,19.73,24.66,75.23,6.56,72.86,1.77,cotton
104.42,43.04,28.14,22.3,77.96,6.74,71.69,1.85,cotton
20.83,21.25,31.62,27.89,45.72,6.12,73.95,5.93,mango
101.41,27.24,21.28,20.48,58.98,7.19,166.6,1.69,coffee
105.56,80.19,46.56,31.02,72.64,6.12,93.51,28.32,banana
59.41,70.46,67.98,16.87,20.06,7.83,61.21,1.24,chickpea
19.65,59.47,24.6,25.61,69.88,6.9,31.84,1.5,lentil
113.53,22.81,38.27,19.49,65.11,6.95,160.96,1.45,coffee
34.09,76.96,46.48,36.41,88.29,7.16,127.5,15.23,papaya
16.94,20.23,49.32,16.72,86.5,6.34,139.1,5.55,pomegranate
122.62,54.38,19.06,19.43,80.24,7.13,65.79,1.72,cotton
29.36,134.17,212.82,23.02,87.28,6.22,70.2,11.97,grapes
19.76,64.63,80.93,15.7,18.16,7.14,111.33,2.27,chickpea
33.76,77.64,69.43,19.79,19.68,7.75,78.85,2.01,chickpea
22.4,58.56,24.11,25.07,52.46,6.03,166.23,1.28,pigeonpeas
16.92,55.88,25.76,28.2,64.79,7.55,46.91,1.22,lentil
47.89,41.19,49.7,35.46,91.82,6.61,158.19,22.42,papaya
14.04,25.04,28.14,25.67,45.1,5.97,123.67,6.73,mango
83.01,48.4,20.04,19.02,68.49,6.33,77.38,4.97,maize
24.93,122.51,206.87,20.24,85.59,5.88,94.91,11.58,apple
18.01,20.08,34.94,28.67,46.1,6.5,57.34,4.67,mango
89.96,83.01,47.07,27.35,80.11,5.6,117.54,29.76,banana
64.55,28.86,35.97,26.86,81.28,6.96,124.59,2.66,jute
69.36,49.63,43.25,23.27,73.07,6.94,76.34,3.68,wheat
97.77,84.26,48.78,27.87,88.81,5.75,70.7,34.13,banana
69.87,47.51,34.74,20.18,89.33,6.43,202.03,3.36,rice
108.69,82.18,42.18,25.78,70.1,6.51,122.26,25.85,banana
23.43,60.29,20.34,22.96,56.21,5.55,150.12,1.11,pigeonpeas
23.32,14.56,28.54,27.94,99.95,5.82,192.37,60.65,coconut
44.0,55.81,81.94,13.8,18.88,7.47,76.11,1.84,chickpea
43.27,64.54,72.29,16.23,18.6,7.57,75.44,1.94,chickpea
102.13,54.28,19.9,20.21,65.11,6.36,52.29,6.61,maize
48.66,63.23,78.25,20.65,13.14,6.78,76.25,2.11,chickpea
90.96,15.12,47.6,26.11,86.1,6.51,42.77,14.12,watermelon
19.12,19.33,21.56,29.2,52.61,6.0,74.62,5.52,mango
28.56,53.02,22.17,20.95,17.61,5.83,124.19,0.83,kidneybeans
75.66,51.73,24.94,20.77,63.4,6.25,57.47,7.59,maize
45.76,48.5,36.45,30.46,92.97,6.7,132.47,20.81,papaya
19.8,137.08,189.3,23.45,81.5,6.16,63.1,11.15,grapes
68.94,42.77,17.02,25.12,54.32,7.14,85.84,5.72,maize
20.54,66.06,16.72,24.49,67.37,7.11,57.78,1.38,lentil
47.57,75.59,15.85,28.4,68.85,6.94,68.92,0.76,blackgram
22.45,66.43,19.43,23.44,68.86,7.13,49.35,1.41,lentil
90.74,25.46,28.15,25.81,61.2,7.07,178.4,1.58,coffee
76.37,47.45,38.73,26.54,86.17,6.46,167.27,2.95,jute
108.92,32.97,25.51,24.4,54.92,6.68,132.2,1.23,coffee
25.35,54.59,20.65,27.72,50.62,6.55,45.13,0.63,mothbeans
20.98,59.77,12.26,20.52,23.31,5.84,104.96,1.32,kidneybeans
55.88,60.27,12.88,20.2,62.85,6.38,46.03,5.96,maize
110.3,97.86,57.63,31.34,75.39,5.65,81.22,32.21,banana
18.92,39.49,26.66,29.86,82.98,6.85,54.37,0.93,mungbean
19.65,17.07,37.74,20.74,91.46,5.84,78.61,7.04,pomegranate
71.25,46.84,16.04,20.08,55.53,6.26,70.02,4.68,maize
25.5,75.49,22.66,20.72,25.28,5.7,87.27,1.63,kidneybeans
112.3,14.64,43.11,27.19,83.87,6.69,45.47,33.59,watermelon
18.38,141.61,176.41,21.16,83.14,5.69,125.84,11.01,apple
118.31,65.82,12.79,25.06,77.39,7.11,99.01,1.68,cotton
35.15,80.76,94.94,16.47,15.35,7.46,79.19,1.79,chickpea
16.58,14.05,31.06,28.76,94.9,6.29,159.46,43.59,coconut
23.94,9.81,38.9,18.33,81.74,6.69,120.89,8.67,pomegranate
22.46,71.56,20.98,19.8,21.31,4.94,115.23,1.54,kidneybeans
80.78,30.72,33.29,26.09,54.71,6.73,139.29,1.37,coffee
41.55,77.48,18.63,28.63,67.96,7.13,63.14,0.78,blackgram
129.09,41.12,22.44,22.34,88.92,6.66,66.76,1.96,cotton
21.03,34.01,29.44,27.67,89.49,6.45,52.08,0.54,mungbean
25.43,9.13,8.43,20.18,98.12,6.88,126.91,15.61,orange
36.1,64.18,72.84,15.41,15.63,7.25,93.93,1.63,chickpea
25.94,124.94,200.48,21.21,81.09,5.93,87.62,17.29,grapes
22.07,153.71,221.67,19.66,83.94,6.1,82.4,10.14,grapes
15.72,57.99,18.72,25.92,52.99,5.14,149.91,1.37,pigeonpeas
16.27,50.04,15.32,23.38,68.05,6.89,53.95,1.57,lentil
27.86,73.0,75.67,15.74,15.65,7.58,76.97,1.91,chickpea
77.53,50.05,50.03,24.02,64.31,6.43,76.86,2.77,wheat
69.85,51.63,41.84,19.08,70.98,6.75,79.59,2.73,wheat
9.14,17.22,44.18,18.86,86.25,6.64,80.47,9.59,pomegranate
114.72,46.88,26.58,25.53,72.79,6.73,98.84,1.84,cotton
110.83,28.06,30.05,27.09,55.61,6.39,159.74,1.59,coffee
47.98,76.46,18.67,28.28,71.14,6.74,75.58,0.49,blackgram
90.62,56.67,48.17,23.78,68.89,6.63,67.73,3.2,wheat
24.95,54.76,21.63,25.22,52.02,7.12,51.48,1.0,mothbeans
55.97,61.0,32.29,19.92,61.41,7.07,75.58,3.82,wheat
71.69,35.69,40.22,19.29,61.32,7.17,96.37,3.5,wheat
10.04,19.33,38.12,21.63,92.92,6.79,79.86,7.16,pomegranate
61.92,49.48,30.12,21.02,64.05,6.09,67.29,6.87,maize
25.14,48.26,13.64,28.42,58.31,6.69,65.51,1.16,mothbeans
104.82,50.81,19.7,25.56,82.35,6.77,78.94,1.65,cotton
16.76,18.77,41.39,21.64,89.31,6.29,173.16,9.36,pomegranate
74.66,35.61,51.06,27.97,82.26,6.63,170.07,2.88,jute
25.44,69.16,63.7,17.86,12.9,7.8,98.67,1.83,chickpea
71.88,47.7,17.85,18.92,57.97,6.18,47.43,6.26,maize
28.02,64.72,20.69,24.83,44.66,5.73,171.08,1.12,pigeonpeas
23.27,73.49,15.03,20.84,17.43,5.73,86.03,0.96,kidneybeans
91.77,28.88,61.74,26.41,92.1,6.53,31.27,16.33,muskmelon
101.73,9.7,53.64,29.55,91.61,7.01,19.54,13.92,muskmelon
110.78,81.31,48.96,23.93,78.58,5.6,95.72,24.51,banana
51.47,69.28,9.18,29.92,70.24,7.08,95.17,0.83,blackgram
20.36,41.79,9.03,31.2,56.52,6.96,53.65,0.62,mothbeans
67.41,45.43,40.5,21.89,68.64,6.82,90.99,3.16,wheat
12.41,45.95,21.94,26.81,46.43,5.77,147.79,1.54,pigeonpeas
98.37,35.37,16.57,27.24,61.96,6.94,74.6,1.89,coffee
42.08,62.69,70.93,14.07,18.05,6.73,86.43,1.72,chickpea
11.53,55.05,17.15,27.28,99.19,6.79,45.14,0.36,mungbean
25.88,10.86,10.06,19.86,91.75,6.93,109.07,11.6,orange
102.94,10.99,41.64,28.91,91.95,6.43,38.41,17.18,muskmelon
111.97,31.44,26.23,26.46,62.44,6.75,123.39,1.44,coffee
47.33,54.75,54.77,32.85,95.14,6.61,128.37,17.67,papaya
17.19,17.27,32.79,22.89,94.77,6.64,97.42,6.94,pomegranate
15.24,44.27,14.97,28.1,83.18,6.25,61.55,0.7,mungbean
87.91,37.72,53.22,20.2,84.93,7.16,170.28,4.05,rice
26.67,13.15,10.99,21.55,85.56,6.68,91.3,17.26,orange
82.18,59.21,23.25,16.49,70.26,5.9,64.24,5.75,maize
19.91,28.47,32.42,30.09,62.65,6.13,90.38,5.54,mango
18.43,20.0,40.3,24.86,95.46,6.72,177.66,55.62,coconut
27.67,136.33,195.2,26.2,89.78,6.38,24.72,15.95,grapes
72.76,51.85,41.43,26.39,74.2,7.13,164.33,1.95,jute
14.65,80.75,15.52,27.44,52.96,5.53,166.05,0.83,pigeonpeas
15.72,44.94,21.54,32.14,46.01,7.16,53.8,1.07,mothbeans
51.49,64.16,53.5,32.21,98.47,6.61,171.38,18.66,papaya
13.18,26.74,28.62,32.3,51.08,6.09,86.18,5.16,mango
24.98,80.63,11.81,16.43,18.13,5.87,112.45,1.82,kidneybeans
123.01,50.29,19.28,23.85,84.22,6.94,100.99,1.99,cotton
74.37,54.23,24.46,18.97,68.1,7.42,80.31,2.84,wheat
23.52,18.13,10.39,31.85,42.88,6.14,88.96,8.4,mango
108.75,15.77,35.65,27.9,84.31,6.96,17.27,14.51,muskmelon
22.33,16.45,24.51,27.52,93.18,5.33,149.24,62.95,coconut
52.77,66.9,53.57,31.08,86.32,6.85,148.54,19.5,papaya
96.86,12.99,47.13,24.4,92.17,6.29,55.29,31.78,watermelon
109.95,89.5,56.64,27.75,81.1,6.21,143.47,25.23,banana
60.57,60.95,51.54,39.4,93.23,6.49,137.95,15.46,papaya
13.23,144.05,176.42,22.8,90.24,5.6,119.99,10.4,apple
17.69,28.94,23.61,34.47,56.35,5.83,122.15,6.33,mango
27.96,67.15,14.06,26.9,43.77,5.84,154.82,1.49,pigeonpeas
138.09,45.16,18.31,18.87,76.76,7.16,103.46,1.55,cotton
41.45,54.96,48.69,34.21,96.75,6.56,178.38,23.75,papaya
92.84,28.76,23.45,21.44,58.25,7.18,181.15,1.48,coffee
58.63,54.6,52.23,33.47,86.65,6.99,159.01,12.05,papaya
13.5,18.41,31.56,22.66,94.36,6.5,87.58,10.07,pomegranate
16.56,20.39,2.89,20.94,96.09,6.91,93.58,15.32,orange
19.78,11.11,36.4,21.82,92.05,6.76,107.1,8.61,pomegranate
108.84,71.07,41.35,27.67,82.58,5.53,97.34,26.97,banana
40.16,60.58,21.89,29.92,72.7,7.48,58.71,0.82,blackgram
75.29,46.86,30.42,20.19,78.41,6.44,209.33,5.68,rice
25.68,20.38,39.19,27.84,92.76,6.15,197.25,71.38,coconut
98.24,37.09,20.95,19.01,67.13,6.21,60.38,5.99,maize
96.97,16.36,56.81,28.51,88.03,6.42,36.19,27.06,watermelon
42.06,61.95,21.16,27.57,54.84,6.7,69.32,0.53,blackgram
82.56,39.84,39.69,20.68,72.23,6.86,95.48,2.46,wheat
15.45,125.12,189.84,22.25,77.37,5.94,47.28,13.37,grapes
30.26,21.23,13.46,21.39,93.15,6.6,119.98,14.82,orange
17.17,31.05,26.73,33.75,56.11,5.7,117.66,8.97,mango
61.68,50.77,37.13,23.9,66.01,6.35,103.21,4.1,wheat
25.83,141.21,168.73,24.65,92.47,6.02,95.7,12.55,apple
22.53,78.58,22.84,17.9,24.09,6.19,152.28,1.16,kidneybeans
95.76,29.68,25.41,23.77,63.27,6.84,140.43,1.51,coffee
29.72,78.81,21.46,28.54,59.31,6.85,88.54,0.72,blackgram
64.19,44.14,40.72,24.07,77.3,6.74,162.45,2.66,jute
103.17,17.62,52.81,30.75,90.9,6.18,29.27,9.67,muskmelon
9.82,15.68,45.28,22.58,94.57,6.1,142.32,6.55,pomegranate
20.62,25.92,28.7,31.37,45.86,6.24,104.02,6.75,mango
66.58,49.91,40.21,25.31,84.36,6.71,187.01,2.86,jute
85.21,48.05,48.54,25.6,77.47,6.72,200.97,1.5,jute
111.7,57.7,17.77,23.18,78.6,6.96,64.54,1.63,cotton
72.81,59.06,41.07,25.19,81.94,7.59,146.71,2.08,jute
120.57,51.67,25.77,23.81,89.5,6.37,86.29,1.56,cotton
12.72,65.09,25.43,23.89,65.71,7.04,57.71,0.97,lentil
18.0,41.04,19.48,29.23,85.87,6.63,49.58,0.68,mungbean
82.36,51.17,30.17,25.29,83.69,6.38,218.98,6.32,rice
15.68,66.75,20.09,27.95,42.17,5.88,94.91,1.01,pigeonpeas
107.03,18.3,41.04,26.53,87.7,6.08,22.41,14.2,muskmelon
112.59,17.38,43.54,27.88,87.98,6.77,31.32,16.56,muskmelon
89.74,36.04,24.6,21.16,58.05,7.31,172.66,1.73,coffee
19.25,55.53,17.38,20.99,23.89,5.37,99.52,1.45,kidneybeans
23.16,128.17,198.25,23.98,84.2,6.08,86.39,14.43,grapes
19.48,70.15,16.31,27.36,51.3,5.76,128.61,1.26,pigeonpeas
109.79,80.0,51.66,24.31,89.24,6.26,100.99,27.98,banana
98.07,89.17,53.38,24.74,79.65,5.8,70.11,26.55,banana
27.47,118.31,191.05,22.19,87.46,5.77,108.64,9.53,apple
23.27,123.81,204.4,21.54,93.41,5.68,101.3,12.35,apple
22.72,131.21,203.1,22.74,81.33,5.87,84.12,12.19,grapes
83.23,30.38,22.47,28.52,60.2,6.55,151.97,1.41,coffee
100.47,87.56,46.51,29.14,81.48,5.7,104.76,28.8,banana
76.23,41.43,38.17,26.0,69.12,6.82,182.73,2.53,jute
71.97,58.23,25.55,26.31,73.54,6.41,124.76,2.23,jute
49.15,46.86,55.34,33.54,97.01,6.7,101.54,18.57,papaya
9.64,25.98,27.18,28.89,51.93,6.54,92.33,6.75,mango
40.2,51.64,78.89,16.62,15.52,7.63,66.15,2.04,chickpea
43.16,55.73,44.31,35.05,88.33,6.43,189.2,23.84,papaya
20.06,89.95,11.66,22.12,19.48,5.93,111.62,1.28,kidneybeans
20.37,55.21,33.21,29.2,86.25,6.92,45.35,1.28,mungbean
95.71,68.36,48.02,26.04,77.42,6.03,118.17,31.16,banana
23.48,134.02,199.94,26.41,77.05,6.08,46.4,12.93,grapes
112.36,8.92,54.71,25.38,91.96,6.21,30.29,15.68,muskmelon
104.98,13.1,56.14,25.95,85.36,6.47,60.33,18.45,watermelon
33.71,55.95,81.43,19.44,16.31,7.64,64.92,2.01,chickpea
62.19,55.16,17.58,21.44,73.06,6.47,65.97,4.61,maize
22.46,53.67,16.99,30.33,77.67,6.25,50.37,0.81,mungbean
21.98,69.69,17.64,30.94,59.51,6.91,46.4,0.55,blackgram
71.54,54.21,36.05,24.73,79.92,6.59,180.9,3.08,jute
18.23,137.07,199.4,22.0,87.53,5.72,63.66,14.57,grapes
103.07,16.94,65.78,26.41,92.73,6.17,13.54,21.57,muskmelon
85.65,33.4,37.29,28.02,87.08,6.96,188.42,3.33,jute
16.65,19.22,15.91,20.62,100.0,6.84,92.96,14.89,orange
15.07,142.32,211.31,20.05,100.0,5.97,126.08,6.95,apple
53.31,56.42,51.38,31.23,92.06,6.35,125.23,18.87,papaya
60.1,54.53,34.12,21.33,67.75,6.51,81.58,2.53,wheat
13.13,122.8,216.84,25.51,88.09,5.76,89.62,6.38,apple
18.51,23.54,29.66,26.78,49.62,6.65,82.78,6.21,mango
95.51,78.75,50.77,23.77,72.77,6.01,89.05,35.37,banana
84.96,54.79,18.53,20.79,57.41,6.09,83.36,6.08,maize
15.72,44.17,13.84,29.9,61.45,7.3,64.24,0.86,mothbeans
40.66,64.05,11.1,27.36,66.96,7.27,68.76,0.87,blackgram
20.76,49.39,16.09,29.41,96.42,6.4,45.6,0.85,mungbean
114.09,80.99,55.37,28.49,76.86,5.28,112.22,30.36,banana
41.75,77.31,18.33,26.36,75.72,6.96,71.38,0.87,blackgram
17.04,33.37,29.43,29.85,45.38,6.28,98.74,6.97,mango
18.92,74.5,28.18,29.62,43.54,5.62,142.1,1.35,pigeonpeas
14.21,56.33,12.24,28.32,54.94,6.25,165.86,1.55,pigeonpeas
131.88,16.44,47.39,27.23,83.79,6.54,62.87,24.38,watermelon
24.49,47.3,23.3,31.53,91.19,6.73,43.89,0.29,mungbean
26.61,9.85,29.72,27.73,90.19,5.21,178.47,47.12,coconut
96.47,19.8,58.59,29.63,90.44,5.97,7.34,14.21,muskmelon
12.86,62.96,20.04,24.12,63.03,6.33,50.7,1.69,lentil
24.18,17.39,43.24,27.91,91.67,5.73,166.18,39.98,coconut
90.41,52.77,28.76,25.49,79.16,7.03,200.78,3.16,jute
20.75,63.45,14.73,22.71,68.49,6.71,44.82,1.3,lentil
28.9,23.32,8.27,22.51,84.85,7.25,141.07,14.12,orange
15.55,22.2,31.27,33.09,51.96,5.89,108.01,7.01,mango
27.95,42.45,16.01,28.08,88.17,6.58,54.38,0.86,mungbean
109.66,18.97,40.98,32.9,84.98,6.58,28.45,11.48,muskmelon
15.87,16.45,34.38,21.76,100.0,6.63,92.71,9.7,pomegranate
63.87,44.58,38.28,22.51,65.8,6.8,86.55,3.8,wheat
21.79,37.43,12.53,23.75,89.6,6.54,78.27,0.6,mungbean
20.81,138.12,200.56,22.7,93.5,5.67,89.34,13.64,grapes
72.02,59.38,28.69,23.94,65.43,5.96,57.54,6.02,maize
112.98,12.65,38.91,27.99,81.19,6.67,34.77,13.7,muskmelon
85.15,75.82,46.57,25.27,86.77,6.7,190.54,5.11,rice
105.98,35.31,21.24,23.19,78.17,6.79,102.81,2.18,cotton
106.45,25.44,24.14,23.99,86.99,7.16,74.69,1.78,cotton
29.97,62.56,11.99,33.18,64.89,7.08,77.82,0.84,blackgram
32.39,37.12,14.84,27.12,59.44,6.8,39.64,1.15,mothbeans
33.78,64.56,23.65,25.7,38.55,5.65,143.69,1.08,pigeonpeas
109.19,19.98,48.52,25.68,94.55,5.99,18.93,12.06,muskmelon
14.05,72.78,19.43,20.57,60.36,6.75,45.27,1.68,lentil
50.66,64.2,55.32,35.32,90.16,6.56,105.15,22.09,papaya
15.45,20.96,38.56,21.3,90.79,6.46,109.52,8.77,pomegranate
94.28,18.79,28.93,22.43,57.83,7.43,145.27,1.56,coffee
86.24,50.03,41.9,21.21,82.38,6.3,229.25,4.38,rice
12.53,26.16,31.42,30.69,37.62,6.35,125.39,6.64,mango
116.83,15.63,70.03,28.05,87.19,6.11,6.95,19.82,muskmelon
84.59,44.17,41.97,28.35,85.03,7.4,158.58,3.34,jute
14.82,23.6,38.82,18.38,90.94,6.14,123.31,11.31,pomegranate
14.78,48.86,16.96,25.97,46.3,6.93,45.19,1.09,mothbeans
17.75,24.35,6.12,24.92,98.08,7.57,78.24,11.39,orange
58.69,50.74,49.01,31.53,97.28,6.54,143.94,22.03,papaya
98.93,94.85,48.87,27.6,86.88,5.78,145.71,39.96,banana
20.6,148.29,172.28,21.96,75.96,6.22,53.3,13.08,grapes
17.94,74.31,22.69,20.86,19.16,5.32,112.73,1.25,kidneybeans
73.26,47.88,22.73,21.02,62.82,6.17,68.67,5.13,maize
22.7,74.01,16.66,26.88,43.71,4.95,153.01,1.38,pigeonpeas
20.06,70.84,18.66,23.33,46.84,5.94,143.05,1.13,pigeonpeas
16.46,133.86,208.42,22.6,83.85,5.8,55.51,12.59,grapes
20.15,51.13,15.09,25.19,86.54,6.6,55.26,0.78,mungbean
20.19,147.72,206.45,19.84,86.93,5.72,120.89,10.72,apple
124.68,54.75,28.1,23.96,76.39,7.08,62.84,1.6,cotton
78.88,43.23,46.91,24.52,79.35,6.33,191.75,2.66,rice
26.61,45.51,23.65,28.7,54.71,6.72,39.83,0.68,mothbeans
104.64,12.33,48.88,32.04,92.56,6.2,28.93,17.29,muskmelon
16.05,67.27,13.17,28.4,51.59,5.85,149.03,1.32,pigeonpeas
74.84,53.57,41.48,26.18,81.73,6.42,205.28,2.9,jute
18.87,63.28,13.11,24.94,73.91,6.83,22.21,1.43,lentil
18.98,72.81,15.86,26.57,63.71,6.98,36.67,1.1,lentil
25.36,132.34,239.19,20.79,100.0,5.88,79.91,10.97,apple
105.93,26.37,35.54,21.98,63.61,7.0,143.78,1.22,coffee
21.26,30.0,35.19,30.17,50.91,5.81,97.77,7.1,mango
92.02,90.15,39.68,26.4,81.64,5.73,120.66,27.16,banana
20.05,136.91,203.91,22.31,94.47,5.56,116.95,10.23,apple
27.24,54.51,19.12,28.17,85.35,7.04,40.24,0.64,mungbean
24.4,24.11,43.79,20.49,73.79,6.49,109.96,8.21,pomegranate
15.94,63.84,20.17,25.25,92.84,6.74,57.51,1.04,mungbean
120.57,15.12,55.25,29.54,91.3,6.48,26.97,10.75,muskmelon
121.56,78.95,46.99,25.88,77.55,5.08,113.1,25.77,banana
19.69,68.94,18.53,29.71,48.0,5.77,171.92,0.97,pigeonpeas
77.69,50.57,56.79,25.25,80.66,6.17,277.2,4.55,rice
98.03,46.78,19.87,26.52,81.0,6.86,65.76,2.25,cotton
18.9,51.43,13.41,27.08,60.36,7.27,49.55,0.94,lentil
77.12,60.22,45.13,26.15,89.79,6.85,125.34,2.92,jute
71.25,43.56,41.86,23.63,65.24,6.81,69.47,2.87,wheat
16.63,54.66,6.44,27.7,78.85,6.56,46.01,0.73,mungbean
41.58,69.49,92.6,20.14,17.57,7.48,69.51,1.92,chickpea
83.44,30.9,44.59,22.23,78.62,6.68,230.93,5.25,rice
22.23,70.76,19.06,22.04,68.7,7.4,49.42,1.68,lentil
27.44,149.31,208.1,22.14,88.62,6.09,73.31,11.89,grapes
14.81,12.86,13.62,22.49,95.06,6.73,50.92,12.43,orange
21.62,65.19,26.18,22.59,59.73,6.88,45.17,1.45,lentil
15.02,65.55,9.11,20.36,24.29,5.26,96.21,1.6,kidneybeans
82.38,47.17,43.16,27.11,66.2,7.58,88.48,2.32,wheat
83.9,51.46,41.07,18.06,59.67,6.71,70.86,3.11,wheat
13.25,63.68,20.17,20.22,19.46,5.82,115.39,1.72,kidneybeans
29.28,68.79,18.27,16.78,19.21,5.6,119.4,1.64,kidneybeans
109.75,84.95,37.95,26.9,77.05,6.0,88.81,24.87,banana
27.46,8.49,5.18,21.02,92.96,7.48,106.29,12.18,orange
43.78,77.54,54.67,35.03,97.86,6.71,164.92,22.87,papaya
18.93,125.47,208.15,21.71,92.17,6.23,110.72,10.03,apple
18.82,14.04,2.35,22.77,94.72,7.48,94.23,11.39,orange
104.55,21.33,45.15,25.11,83.46,6.21,55.64,19.19,watermelon
106.18,14.09,55.11,28.43,89.02,6.46,29.37,18.47,muskmelon
34.13,67.66,82.66,20.91,19.11,7.44,86.26,2.22,chickpea
23.39,60.5,19.75,19.68,20.99,6.14,118.19,1.18,kidneybeans
26.39,131.92,212.78,24.83,82.33,5.92,81.7,11.85,grapes
89.99,90.27,44.79,23.27,77.88,6.02,95.75,28.46,banana
29.85,79.29,18.44,29.6,69.17,6.91,81.96,0.29,blackgram
97.57,17.46,60.38,29.29,95.51,6.52,23.77,15.96,muskmelon
91.84,72.77,53.97,28.27,82.0,5.3,87.66,29.85,banana
87.11,48.55,39.11,25.32,76.59,6.68,217.79,4.25,rice
88.96,22.69,29.58,23.07,60.13,7.25,154.29,1.54,coffee
20.06,37.43,18.67,30.74,92.0,6.69,48.13,1.18,mungbean
27.59,144.1,190.33,24.59,78.22,6.77,59.61,14.57,grapes
77.31,50.74,54.02,23.15,90.14,6.09,148.9,4.46,rice
112.52,16.51,47.07,27.31,96.29,6.41,27.33,17.39,muskmelon
84.54,35.19,45.03,24.78,95.36,6.05,209.23,2.3,jute
28.65,132.31,223.11,21.95,79.83,6.34,45.66,8.97,grapes
71.91,47.37,31.48,24.24,68.23,7.45,75.38,3.31,wheat
23.32,66.04,12.3,23.03,57.56,6.56,49.89,1.07,lentil
96.33,14.46,51.09,27.35,94.51,5.81,24.09,15.39,muskmelon
22.52,117.88,202.48,24.93,76.36,6.48,46.6,17.29,grapes
15.53,14.82,29.64,21.31,89.59,6.74,117.18,10.0,pomegranate
22.05,69.86,20.41,26.92,60.94,6.06,163.46,1.23,pigeonpeas
43.44,62.48,32.71,31.54,100.0,6.83,149.17,27.94,papaya
101.11,29.77,33.27,27.26,55.97,6.95,170.31,1.6,coffee
24.62,17.8,8.75,21.73,90.4,6.73,92.24,17.08,orange
60.74,42.58,25.97,18.06,62.68,6.34,81.75,5.25,maize
11.12,75.51,21.26,22.77,21.33,6.03,112.0,1.9,kidneybeans
116.28,40.13,11.0,25.41,78.14,6.95,66.49,1.7,cotton
21.84,56.3,17.3,29.79,44.84,6.53,33.93,0.85,mothbeans
97.65,48.24,31.91,24.84,92.61,6.81,154.42,4.11,rice
22.26,44.15,20.15,29.4,79.84,6.49,53.57,1.22,mungbean
16.5,66.61,20.18,16.62,60.96,6.78,61.05,1.08,lentil
109.73,20.48,43.52,24.5,83.58,6.97,56.46,28.52,watermelon
56.27,54.78,17.32,20.73,66.66,6.26,80.64,5.06,maize
94.94,13.21,53.61,24.64,84.64,6.75,48.99,20.27,watermelon
47.18,77.2,84.21,15.72,16.4,7.2,93.98,2.0,chickpea
14.03,69.29,15.77,28.11,48.83,5.22,157.41,1.03,pigeonpeas
26.15,18.59,42.55,21.4,92.65,6.36,109.31,9.36,pomegranate
12.86,116.3,198.04,19.57,95.24,5.91,116.31,8.59,apple
34.06,63.12,88.85,21.37,18.69,6.94,114.81,1.64,chickpea
53.07,46.21,34.08,18.69,65.9,7.22,93.77,2.41,wheat
115.4,20.87,54.17,27.01,95.75,5.79,22.98,16.75,muskmelon
102.08,83.06,37.17,23.37,81.48,5.94,96.48,21.71,banana
8.45,15.85,30.09,28.45,100.0,5.79,154.59,43.33,coconut
19.49,68.33,26.71,24.49,62.98,6.9,47.18,0.97,lentil
18.07,14.05,28.72,21.86,90.87,6.21,77.62,8.94,pomegranate
66.21,45.37,36.93,18.96,61.75,6.43,80.51,2.82,wheat
21.72,125.87,211.33,22.28,86.38,5.92,96.01,10.3,apple
11.54,120.92,176.45,23.67,79.41,5.94,55.23,3.92,grapes
119.9,54.26,14.57,23.47,79.22,7.1,66.37,1.41,cotton
13.61,111.7,188.21,20.75,96.72,5.9,135.67,7.35,apple
134.63,39.03,26.15,24.4,85.46,7.47,63.01,2.18,cotton
94.61,17.69,60.27,27.66,87.23,5.84,15.23,17.59,muskmelon
104.65,61.0,39.88,23.78,80.59,6.77,143.92,2.54,jute
29.58,138.47,201.24,23.95,81.85,6.26,64.96,12.67,grapes
80.56,50.67,38.1,23.48,83.28,6.31,211.47,2.38,jute
55.62,65.42,50.81,39.53,89.81,6.43,155.45,17.3,papaya
25.55,143.39,210.35,21.73,89.39,5.68,82.85,11.98,apple
121.95,41.79,19.93,26.56,78.56,7.52,62.36,1.75,cotton
15.33,49.06,20.03,22.45,61.0,6.75,63.45,1.78,lentil
